,DISTANCE,UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
3597,213,DL,JAN,"Jackson/Vicksburg, MS",PNS,"Pensacola, FL"
3598,213,04Q,OXC,"Waterbury, CT",MVL,"Morrisville, VT"
3599,213,8V,ATK,"Atqasuk, AK",AKP,"Anaktuvuk Pass, AK"
3600,213,9K,SLK,"Saranac Lake/Lake Placid, NY",BOS,"Boston, MA"
3601,213,9K,BOS,"Boston, MA",SLK,"Saranac Lake/Lake Placid, NY"
3602,213,G4,TVC,"Traverse City, MI",SBN,"South Bend, IN"
3603,213,G4,SBN,"South Bend, IN",TVC,"Traverse City, MI"
3604,213,OO,TUS,"Tucson, AZ",FLG,"Flagstaff, AZ"
3605,213,SY,DBQ,"Dubuque, IA",MSP,"Minneapolis, MN"
3606,213,QX,EUG,"Eugene, OR",YKM,"Yakima, WA"
3607,213,8E,OME,"Nome, AK",WLK,"Selawik, AK"
3608,213,8E,KVL,"Kivalina, AK",OBU,"Kobuk, AK"
3609,213,8E,OBU,"Kobuk, AK",KVL,"Kivalina, AK"
3610,213,OO,LAR,"Laramie, WY",GJT,"Grand Junction, CO"
3611,213,09Q,ICT,"Wichita, KS",FYV,"Fayetteville, AR"
3612,213,09Q,GSO,"Greensboro/High Point, NC",HTS,"Ashland, WV"
3613,214,YX,LGA,"New York, NY",DCA,"Washington, DC"
3614,214,YX,DCA,"Washington, DC",LGA,"New York, NY"
3615,214,YX,ATL,"Atlanta, GA",SAV,"Savannah, GA"
3616,214,B6,SAV,"Savannah, GA",ATL,"Atlanta, GA"
3617,214,5X,BHM,"Birmingham, AL",PNS,"Pensacola, FL"
3618,214,LF,LAS,"Las Vegas, NV",PGA,"Page, AZ"
3619,214,LF,PGA,"Page, AZ",LAS,"Las Vegas, NV"
3620,214,8E,OTZ,"Kotzebue, AK",UNK,"Unalakleet, AK"
3621,214,OO,BNA,"Nashville, TN",ATL,"Atlanta, GA"
3622,214,OO,ATL,"Atlanta, GA",BNA,"Nashville, TN"
3623,214,OH,BGR,"Bangor, ME",BTV,"Burlington, VT"
3624,214,8E,UNK,"Unalakleet, AK",OTZ,"Kotzebue, AK"
3625,214,FX,AUS,"Austin, TX",OZA,"Ozona, TX"
3626,214,09Q,CEF,"Chicopee Falls, MA",PHL,"Philadelphia, PA"
3627,214,09Q,BNA,"Nashville, TN",GTR,"Columbus, MS"
3628,214,09Q,GTR,"Columbus, MS",BNA,"Nashville, TN"
3629,214,EV,GRR,"Grand Rapids, MI",CLE,"Cleveland, OH"
3630,214,09Q,CVG,"Cincinnati, OH",CAK,"Akron, OH"
3631,214,LF,MQY,"Smyrna, TN",QQT,"Peachtree City, GA"
3632,215,LF,MNZ,"Manassas, VA",PKB,"Parkersburg, WV"
3633,215,LF,PKB,"Parkersburg, WV",MNZ,"Manassas, VA"
3634,215,09Q,BUF,"Buffalo, NY",MDT,"Harrisburg, PA"
3635,215,7S,ATT,"Atmautluak, AK",UNK,"Unalakleet, AK"
3636,215,MQ,ORD,"Chicago, IL",LSE,"La Crosse, WI"
3637,215,MQ,LSE,"La Crosse, WI",ORD,"Chicago, IL"
3638,215,AMQ,SBN,"South Bend, IN",CMH,"Columbus, OH"
3639,215,OO,EAU,"Eau Claire, WI",CMX,"Hancock/Houghton, MI"
3640,215,OO,CMX,"Hancock/Houghton, MI",EAU,"Eau Claire, WI"
3641,215,04Q,BTV,"Burlington, VT",DXR,"Danbury, CT"
3642,215,OO,BFL,"Bakersfield, CA",SAN,"San Diego, CA"
3643,215,09Q,DAY,"Dayton, OH",PIT,"Pittsburgh, PA"
3644,215,4W,GAL,"Galena, AK",BTT,"Bettles, AK"
3645,216,KH,HNL,"Honolulu, HI",ITO,"Hilo, HI"
3646,216,KH,ITO,"Hilo, HI",HNL,"Honolulu, HI"
3647,216,OO,SLC,"Salt Lake City, UT",GJT,"Grand Junction, CO"
3648,216,OO,GJT,"Grand Junction, CO",SLC,"Salt Lake City, UT"
3649,216,DL,NC1,"Gastonia, NC",ATL,"Atlanta, GA"
3650,216,G4,SJT,"San Angelo, TX",SPS,"Wichita Falls, TX"
3651,216,OH,CVG,"Cincinnati, OH",TRI,"Bristol/Johnson City/Kingsport, TN"
3652,216,DL,ATL,"Atlanta, GA",NC1,"Gastonia, NC"
3653,216,5X,DSM,"Des Moines, IA",PIA,"Peoria, IL"
3654,216,WN,DAL,"Dallas, TX",IAH,"Houston, TX"
3655,216,GL,CMH,"Columbus, OH",LAF,"Lafayette, IN"
3656,216,GL,LAF,"Lafayette, IN",STL,"St. Louis, MO"
3657,216,GL,LAF,"Lafayette, IN",CMH,"Columbus, OH"
3658,216,09Q,GPT,"Gulfport/Biloxi, MS",AEX,"Alexandria, LA"
3659,216,9E,MOB,"Mobile, AL",BHM,"Birmingham, AL"
3660,216,G4,PIA,"Peoria, IL",DSM,"Des Moines, IA"
3661,216,7S,KWT,"Kwethluk, AK",UNK,"Unalakleet, AK"
3662,216,09Q,GRR,"Grand Rapids, MI",DAY,"Dayton, OH"
3663,216,04Q,BLM,"Belmar/Farmingdale, NJ",BED,"Bedford, MA"
3664,216,04Q,BED,"Bedford, MA",BLM,"Belmar/Farmingdale, NJ"
3665,217,AN,OXR,"Oxnard/Ventura, CA",SNS,"Salinas/Monterey, CA"
3666,217,AN,SNS,"Salinas/Monterey, CA",OXR,"Oxnard/Ventura, CA"
3667,217,09Q,CEF,"Chicopee Falls, MA",ACY,"Atlantic City, NJ"
3668,217,09Q,CHS,"Charleston, SC",RDU,"Raleigh/Durham, NC"
3669,217,U7,YIP,"Detroit, MI",LAF,"Lafayette, IN"
3670,217,AS,RDU,"Raleigh/Durham, NC",CHS,"Charleston, SC"
3671,217,GL,LAF,"Lafayette, IN",YIP,"Detroit, MI"
3672,217,OO,YUM,"Yuma, AZ",TUS,"Tucson, AZ"
3673,217,OO,TUS,"Tucson, AZ",YUM,"Yuma, AZ"
3674,217,09Q,ACY,"Atlantic City, NJ",CEF,"Chicopee Falls, MA"
3675,218,38Q,DEN,"Denver, CO",TEX,"Telluride, CO"
3676,218,38Q,TEX,"Telluride, CO",DEN,"Denver, CO"
3677,218,4B,DEN,"Denver, CO",MCK,"McCook, NE"
3678,218,4B,MCK,"McCook, NE",DEN,"Denver, CO"
3679,218,H6,BET,"Bethel, AK",UNK,"Unalakleet, AK"
